tv_show_id,tv_show_name,tv_show_streaming_service,tv_show_genre1,tv_show_genre2,tv_show_IMDB_rating,tv_show_RT_rating,tv_show_our_rating,tv_show_description,tv_show_keyword1,tv_show_keyword2,tv_show_keyword3,tv_show_suggester_name,tv_show_image,tv_show_completed,ongoing,episode_count,season_count,episode_length_minutes,episodes_per_season,day_of_release
11,Star Wars: The Clone Wars,Disney+,Sci-Fi,Animation,8.4,93,,"The first weekly TV series from Lucasfilm Animation chronicles the adventures of Anakin Skywalker, Yoda, Obi-Wan Kenobi and other popular characters from the `Star Wars' universe during the violent Clone Wars, as dwindling numbers of Jedi knights struggle to restore peace.",,,,James,,FALSE,FALSE,133,7,,,
12,Ahsoka,Disney+,Action,,,,,Former Jedi knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.,,,,James,,FALSE,TRUE,8,1,,,
13,Star Wars: The Bad Batch,Disney+,Sci-Fi,Animation,7.8,88,,Members of a unique squad of clones find their way in a changing galaxy in the aftermath of the Clone War.,,,,James,,FALSE,TRUE,32,2,,,
14,Star Wars: Visions,Disney+,Sci-Fi,Animation,7.0,98,,"Animation studios from around the world bring their unique perspectives to the ""Star Wars"" universe through a series of short films.",,,,James,,FALSE,TRUE,18,2,,,
15,Tales of the Jedi,Disney+,Sci-Fi,Animation,8.2,100,,A collection of shorts featuring parables built around Jedi from the prequel era; the lives of two distinctly different Jedi: Ahsoka Tano and Count Dooku; each will be put to the test as they make choices that will define their destinies.,,,,James,,FALSE,TRUE,6,1,,,
16,Loki,Disney+,Action,,8.2,92,,"Loki, the God of Mischief, steps out of his brother's shadow to embark on an adventure that takes place after the events of ""Avengers: Endgame.""",,,,Sarah,,FALSE,TRUE,12,2,,,
17,Star Wars Rebels,Disney+,Sci-Fi,,8.0,98,,"This animated entry in the `Star Wars' franchise fills the gap between the events of `Episode III' and `Episode IV'. Imperial forces occupy a remote planet and are ruling - and ruining - its inhabitants' lives with an iron fist. A clever, disparate crew aboard the starship Ghost takes a stand against the Empire, facing new villains and colourful adversaries as they attempt to ignite a rebellion. The rebels on the Ghost include leader Kanan, ace pilot Hera, feisty heroine Sabine, tough guy Zeb and 14-year-old con artist Ezra.",,,,James,,TRUE,FALSE,75,4,,,
18,Andor,Disney+,Action,,8.4,96,,The story of Rebel spy Cassian Andor's formative years of the Rebellion and his difficult missions for the cause.,,,,James,,FALSE,TRUE,12,1,,,
19,Abbott Elementary,Hulu,Mocumentary,,8.2,99,,"A group of dedicated, passionate teachers -- and a slightly tone-deaf principal -- find themselves thrown together in a Philadelphia public school where, despite the odds stacked against them, they are determined to help their students succeed in life. Though these incredible public servants may be outnumbered and underfunded, they love what they do -- even if they don't love the school district's less-than-stellar attitude toward educating children.",,,,Sarah,,FALSE,TRUE,35,2,,,
20,Atlanta,Hulu,Comedy,Drama,8.6,98,,"Atlanta is one of the top cities for young rappers looking to make a name for themselves in the business. Among those up-and-comers is Alfred Miles, a hot new artist who is trying to understand the line between real life and street life. He is managed by his cousin, Earn, who gets caught up in the local rap scene and his cousin's career after returning home to the ATL. Earn does whatever he can to try to get Alfred's career to the next level. Darius, the rapper's right-hand man and visionary, is also in Alfred's entourage. When Earn isn't busy managing his cousin's career, he spends much of his time with best friend Vanessa, who is also the mother of his daughter.",,,,James,,FALSE,FALSE,41,4,,,
21,Survivor,Hulu,Reality,,7.5,71,,A group of castaways inhabit an island where they are forced to compete against each other in a series of challenges. They must survive in order to win the million dollar prize.,,,,James,,FALSE,TRUE,648,44,,,
22,Next Level Chef,Hulu,Culinary Arts,Reality,6.9,47,,"Chefs Gordon Ramsay, Nyesha Arrington and Richard Blais recruit talented chefs and take them under their wings as they face unique cooking challenges in a one-of-a-kind culinary gauntlet with the goal of finding the food world's newest superstar.",,,,James,,FALSE,TRUE,26,2,,,
23,Master Chef,Hulu,Culinary Arts,Reality,7.2,66,,"Amateur chefs compete in a series of cooking challenges overseen by a panel of accomplished chefs. Each week they have to survive elimination and become a culinary master, earning the title of MasterChef.",,,,James,,FALSE,TRUE,254,13,,,
24,Hell's Kitchen,Hulu,Culinary Arts,Reality,7.2,66,,"In the US, chefs compete against one another. Gordon Ramsay hosts the intense cooking competition where the winner will be given the chance to be a head chef, but first must prove themselves.",,,,James,,FALSE,TRUE,330,21,,,
25,Secret Chef,Hulu,Culinary Arts,Reality,7.0,70,,"Ten contestants are isolated in an underground kitchen labyrinth; guided by an animated hat, the chefs are tasked to perform a series of cooking challenges; there are no judges, and the chefs must rate each other's dishes in blind taste tests",,,,James,,FALSE,TRUE,10,1,,,
26,The Bear,Hulu,Drama,Comedy,8.5,99,,"A young chef from the fine dining world comes home to Chicago to run his family sandwich shop after a heartbreaking death in his family. A world away from what he's used to, Carmy must balance the soul-crushing realities of small business ownership, his strong-willed and recalcitrant kitchen staff and his strained familial relationships, all while grappling with the impact of his brother's suicide. As Carmy fights to transform both the shop and himself, he works alongside a rough-around-the-edges kitchen crew that ultimately reveals itself as his chosen family.",,,,Sarah,,FALSE,TRUE,18,2,,,
27,Party Down,Hulu,Sitcom,,8.2,94,,"While chasing dreams of stardom, six Hollywood wannabe actors and writers make ends meet by working for a posh Los Angeles catering company, which tackles a different event -- senior singles mixer, porn awards after party, a Super Sweet 16 bash -- in each episode.",,,,Sarah,,FALSE,TRUE,26,3,,,
28,Futurama,Hulu,Sitcom,Animation,8.5,82,,"Accidentally frozen, pizza-deliverer Fry wakes up 1,000 years in the future. He is taken in by his sole descendant, an elderly and addled scientist who owns a small cargo delivery service. Among the other crew members are Capt. Leela, accountant Hermes, intern Amy, obnoxious robot Bender and lobsterlike moocher ""Dr."" Zoidberg.",,,,James,,FALSE,TRUE,142,11,,,
29,Love Island UK,Hulu,Reality,Romance,5.2,52,,"A group of single people move to a luxury villa in the hope of finding love and the summer of their life. Throughout the series, there are shock twists and surprise announcements that will test the relationships between the islanders. To remain in their luxury paradise and stand a chance of winning the £50,000 prize, contestants must couple up and win the hearts of each other and the public, as they ultimately decide who stays on `Love Island' and who goes.",,,,Sarah,,FALSE,TRUE,391,10,,,
30,Yellowjackets,Hulu,Mystery,,7.8,96,,"""Yellowjackets"" tells the narrative of a team of wildly talented high-school girls soccer players who survive a plane crash deep in the Ontario wilderness. The series chronicles their descent from a complicated but thriving team to warring, cannibalistic clans, while also tracking the lives they have attempted to piece back together. Sophie Nélisse, Jasmin Savoy Brown, Sophie Thatcher and Sammi Hanratty star as the teenagers, while Melanie Lynskey, Tawny Cypress, Christina Ricci and Juliette Lewis portray their adult counterparts as they reveal the truth about their survival 25 years later.",,,,Chris,,FALSE,TRUE,19,2,,,
31,Succession,Max,Drama,Comedy,8.9,95,,"Although he has no plans to step aside as the head of Waystar Royco, the international media conglomerate controlled by his family, aging patriarch Logan Roy is contemplating what the future holds. He has lingered in the limelight longer than even he thought he would, and now family members want to run the company as they see fit. Despite a best-laid succession plan, tempers flare over Logan's intentions. Kendall Roy, Logan's eldest son from his second marriage and a division president at the firm, is the heir apparent. As Kendall attempts to solidify his eventual takeover, he and the three other Roy children face a difficult choice as company control and family loyalties collide.",,,,Sarah,,FALSE,FALSE,39,4,,,
32,Veep,Max,Sitcom,,8.4,93,,"""Politics is about people,"" former Sen. Selina Meyer is fond of saying. Unfortunately, the people Meyer, a charismatic leader and rising star in her party, meets after becoming vice president are nothing like she expected, but everything she was warned about. ""Veep"" follows the VP as she puts out political fires, juggles her public schedule and private life, and does everything within her limited powers to improve her dysfunctional relationship with the chief executive. Meyer's trusted -- and some not-so-trusted -- sidekicks include chief of staff Amy, one-time spokesperson Mike, and right-hand man Gary.",,,,Sarah,,FALSE,FALSE,65,7,,,
33,The Last of Us,Max,Drama,,8.8,96,,"Twenty years after a fungal outbreak ravages the planet, survivors Joel and Tess are tasked with a mission that could change everything. ",,,,James,,FALSE,TRUE,9,1,,,
34,Euphoria,Max,Drama,,8.3,88,,"An American adaptation of the Israeli show of the same name, ""Euphoria"" follows the troubled life of 17-year-old Rue, a drug addict fresh from rehab with no plans to stay clean. Circling in Rue's orbit are Jules, a transgender girl searching for where she belongs; Nate, a jock whose anger issues mask sexual insecurities; Chris, a football star who finds the adjustment from high school to college harder than expected; Cassie, whose sexual history continues to dog her; and Kat, a body-conscious teen exploring her sexuality. As the classmates struggle to make sense of their futures, the series tackles the teenage landscape of substance-enhanced parties and anxiety-ridden day-to-day life with empathy and candor.",,,,James,,FALSE,TRUE,18,2,,,
35,House of the Dragon,Max,Drama,,8.5,93,,"The reign of House Targaryen begins with this prequel to popular HBO series ""Game of Thrones."" Based on George R.R. Martin's ""Fire & Blood,"" ""House of the Dragon"" is set nearly 200 years before the events of ""Game of Thrones,"" telling the story of the Targaryen civil war with King Viserys I Targaryen's children battling for control of the Iron Throne.",,,,James,,FALSE,TRUE,10,1,,,
36,Harley Quinn,Max,Superhero,Comedy,8.5,97,,The newly single Harley Quinn sets off to make it on her own as the criminal queenpin in Gotham City.,,,,James,,FALSE,TRUE,40,4,,,
37,The White Lotus,Max,Comedy,Drama,7.9,91,,"An all-star cast head to a resort and unleash their worst, most privileged impulses. The series is a sharp social satire following the exploits of various guests and employees of the fictional White Lotus resort chain, whose stay becomes affected by their various dysfunctions. A week in the life of vacationers is unravelled as they relax and rejuvenate in paradise. With each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel's cheerful employees, and the idyllic locale itself.",,,,Sarah,,FALSE,TRUE,13,2,,,
38,The Sex Lives of College Girls,Max,Drama,Comedy,7.8,95,,Four roommates navigate their new freedom on the prestigious campus of Essex College.,,,,Sarah,,FALSE,TRUE,20,2,,,
39,Station Eleven,Max,Drama,,7.6,98,,Survivors of a devastating flu attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost.,,,,Chris,,TRUE,FALSE,10,1,,,
40,The Flight Attendant,Max,Thriller,,7.1,91,,A flight attendant's life gets turned upside down after she wakes up in a hotel room with a dead man but with no memory of what happened.,,,,Sarah,,FALSE,TRUE,16,2,,,
41,The Newsroom,Max,Drama,,8.6,48,,"Aaron Sorkin once chronicled the daily work of the federal government in ""The West Wing."" In ""The Newsroom,"" the Emmy-winning executive producer uses the operation of a fictional cable news network as the heart of the story, with Jeff Daniels portraying the network's lead anchor and leading an ensemble cast. Episodes are written around actual recent news events, reported by a staff that takes its collective responsibilities seriously, but corporate and commercial obstacles -- plus entangled personal relationships -- fly in the face of their public mission.",,,,Sarah,,FALSE,FALSE,25,3,,,
42,Winning Time: The Rise of the Lakers Dynasty,Max,Sports,,8.3,85,,"A dramatic look at the glitz and glamour of 1980s Los Angeles and the rise of the NBA's Lakers, Dr. Jerry Buss and Magic Johnson.",,,,James,,FALSE,TRUE,17,2,,,
43,The Mole,Netflix,Reality,,7.6,100,,A group of fourteen American strangers undertake an array of physical and mental challenges.,,,,James,,FALSE,TRUE,10,1,,,
44,The Dragon Prince,Netflix,Fantasy,Animation,8.3,100,,"In the magical land of Xadia, magic comes from six primal sources: the sun, moon, stars, sky, earth and ocean. When human mages create a seventh kind of magic -- dark magic -- they start capturing and harvesting the unique magical creatures they need as ingredients, which sparks a war between Xadia and the Human Kingdoms. Three kids from opposite sides of the conflict -- two princes and an elven assassin sent to kill them -- discover a secret that could change everything and decide to join forces and go on an epic journey. That trek could be their only hope of ending the war and restoring peace to both worlds.",,,,James,,FALSE,TRUE,81,9,,,
45,The Sandman,Netflix,Drama,Superhero,7.7,87,,"When the Sandman, aka Dream, the cosmic being who controls all dreams, is captured and held prisoner for more than a century, he must journey across different worlds and timelines to fix the chaos his absence has caused.",,,,Sarah,,FALSE,TRUE,10,1,,,
46,The Umbrella Academy,Netflix,Action,Superhero,7.9,86,,"On one day in 1989, 43 infants are inexplicably born to random, unconnected women who showed no signs of pregnancy the day before. Seven are adopted by billionaire industrialist Sir Reginald Hargreeves, who creates the Umbrella Academy and prepares his ""children"" to save the world. In their teenage years, though, the family fractures and the team disbands. Fast forward to the present time, when the six surviving members of the clan reunite upon the news of Hargreeves' passing. They work together to solve a mystery surrounding their father's death, but divergent personalities and abilities again pull the estranged family apart, and a global apocalypse is another imminent threat. The series is based on a collection of comics and graphic novels created and written by My Chemical Romance lead singer Gerard Way.",,,,Sarah,,TRUE,FALSE,40,4,,,
47,The Great British Baking Show,Netflix,Baking,Reality,8.6,87,,"In the third series, the search for Britain's best amateur baker is back as 12 passionate baking fans compete for the title. Mel Giedroyc and Sue Perkins return as presenters, as do judges Mary Berry and Paul Hollywood, who devise the three challenges faced by the competitors each week. They incorporate a signature bake, which tests the bakers' personality and creative flair; a technical bake, which tests experience; and a showstopper bake, during which the bakers are able to showcase their depth of skill and talent. Berry and Hollywood inspect, prod and sample the baked goodies as they decide who gets to have their cake - and eat it.",,,,Sarah,,FALSE,TRUE,167,13,,,
48,Cooked With Cannabis,Netflix,Culinary Arts,Reality,6.6,86,,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their use of leafy herb, THC infusions and CBD sauces.",,,,James,,FALSE,TRUE,6,1,,,
49,Too Hot to Handle,Netflix,Reality,Romance,4.7,46,,"A group of determined singles visit paradise to meet, mingle, and remain celibate for their chance to win $100,000.",,,,Sarah,,FALSE,TRUE,49,5,,,
50,Cook at all Costs,Netflix,Culinary Arts,Reality,6.4,47,,Three home cooks put their money up for grabs in an auction-filled cooking competition.,,,,James,,FALSE,TRUE,8,1,,,
51,Sex Education,Netflix,Drama,,8.3,95,,"Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance on the topic in his personal sex ed course -- living with mom Jean, who is a sex therapist. Being surrounded by manuals, videos and tediously open conversations about sex, Otis has become a reluctant expert on the subject. When his classmates learn about his home life, Otis decides to use his insider knowledge to improve his status at school, so he teams with whip-smart bad girl Maeve to set up an underground sex therapy clinic to deal with their classmates' problems. But through his analysis of teenage sexuality, Otis realizes that he may need some therapy of his own.",,,,Sarah,,FALSE,TRUE,32,4,,,
52,Arcane,Netflix,Action,Animation,9.0,100,,"The origins of two iconic League champions, set in the utopian Piltover and the oppressed underground of Zaun.",,,,James,,FALSE,TRUE,9,1,,,
53,Community,Netflix,Sitcom,,8.5,88,,"When fast-talking lawyer Jeff Winger (Joel McHale) finds his degree has been revoked, he is forced to go back to school at Greendale Community College. Hoping to score points with a pretty coed, he invents a study group and invites her to join it. Imagine his surprise when she's not the only one who shows up for help with Spanish from the ""board-certified tutor"" he proclaims himself to be. Though his command of the language is anything but good, the members continue to meet and end up learning a lot about themselves.",,,,James,,TRUE,FALSE,110,6,,,
54,Designated Survivor,Netflix,Drama,,7.5,71,,"As a lower-level cabinet member, Tom Kirkman never imagined something would happen that would catapult him to the oval office. When a devastating attack on the night of the State of the Union address claims the lives of the president and most of the Cabinet, the Housing and Urban Development secretary -- who was named the designated survivor in case of such an event -- finds himself promoted to leader of the free world. Suddenly thrust into his new position of power, Kirkman struggles to keep the country from dissolving into chaos and must adjust to his new normal, unaware of what fresh horrors may await the United States.",,,,Sarah,,TRUE,FALSE,53,3,,,
55,Midnight Gospel,Netflix,Surrealism,Animation,8.2,91,,"A space caster traverses trippy worlds inside his universe simulator, exploring existential questions about life, death and everything in between.",,,,James,,FALSE,TRUE,8,1,not ongoing,,
56,The Good Place,Netflix,Sitcom,,8.2,97,,"When Eleanor Shellstrop finds herself in the afterlife, she's both relieved and surprised that she's made it into the Good Place. But it doesn't take long for Eleanor to realize she's there by mistake. She hides in plain sight from the Good Place's architect, Michael, and his all-knowing assistant, Janet. Her seemingly perfect neighbors, Tahani and Jason, and open-hearted soul mate, Chidi, help her realize that it's never too late to change. With the help of her new friends -- and a few enemies -- Eleanor becomes determined to shed her old way of life in hopes of discovering a new one in the afterlife.",,,,Sarah,,TRUE,FALSE,53,4,,,
57,Stranger Things,Netflix,Drama,,8.7,92,,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",,,,James,,FALSE,TRUE,34,4,,,
58,Squid Game,Netflix,Thriller,,8.0,95,,"Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are deadly.",,,,James,,FALSE,TRUE,9,1,,,
59,Perfect Match,Netflix,Reality,Romance,5.9,56,,"Through a series of compatibility challenges and matchups, Nick Lachey takes hopefuls on a journey from single to soulmate, bringing together singles from other reality shows, including `Love Is Blind,' `The Mole,' `Too Hot to Handle,' and others.",,,,James,,FALSE,TRUE,12,1,,,
60,The Queen's Gambit,Netflix,Historical,Drama,8.6,96,,"Set during the Cold War era, orphaned chess prodigy Beth Harmon struggles with addiction in a quest to become the greatest chess player in the world.",,,,Sarah,,TRUE,FALSE,7,1,,,
61,Bridgerton,Netflix,Romance,Historical,7.4,82,,"During the Regency era in England, eight close-knit siblings of the powerful Bridgerton family attempt to find love.",,,,Sarah,,FALSE,TRUE,16,2,,,
62,Queen Charlotte: A Bridgerton Story,Netflix,Historical,Drama,7.4,94,,The young queen's marriage to King George of England ushers in an epic love story and transforms high society.,,,,Sarah,,TRUE,FALSE,6,1,,,
63,Pressure Cooker,Netflix,Culinary Arts,Reality,6.3,71,,"Living under one roof, 11 chefs use culinary skills and strategic plays in a tense cooking contest, during which they vote on who among them will win $100,000.",,,,James,,FALSE,TRUE,8,1,,,
64,Manifest,Netflix,Drama,,7.1,72,,"When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But in the span of those few hours, the world had aged five years -- and after mourning their loss, their friends, families and colleagues had given up hope and moved on. Now, faced with the impossible, they're all given a second chance. But as their new realities become clear, a deeper mystery unfolds, and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",,,,James,,TRUE,FALSE,62,4,,,
65,Good Omens,Amazon Prime,Fantasy,Comedy,8.0,84,,"This fantasy series sees fussy angel Aziraphale and loose-living demon Crowley team up to form an unlikely duo. The two have become overly fond of life on Earth, and they are forced into forming an alliance in an attempt to stop the approaching Armageddon. To do that, they have to find the missing Antichrist, an 11-year-old boy who is unaware that he is meant to bring the end of days upon humanity. Michael Sheen, David Tennant and Jon Hamm star in the series, which is based on the book of the same name by Terry Pratchett and Neil Gaiman.",,,,Sarah,,FALSE,TRUE,12,2,,,
66,Daisy Jones and the Six,Amazon Prime,Drama,,8.1,70,,"In 1977, Daisy Jones & The Six were on top of the world; the band had risen from obscurity to fame, and then, after a sold-out show at Chicago's Soldier Field, they called it quits; now, decades later, the band members agree to reveal the truth.",,,,Sarah,,FALSE,FALSE,10,1,,,
67,Jury Duty,Amazon Prime,Sitcom,Mocumentary,8.3,80,,"Chronicling the inner workings of an American jury trial through the eyes of juror Ronald Gladden, who doesn't realize that everyone, except him, is an actor.",,,,Sarah,,FALSE,FALSE,8,1,,,
68,Invincible,Amazon Prime,Superhero,Animation,8.7,98,,"Seventeen-year-old Mark Grayson is just like every guy his age, except that his father is Omni-Man, the most powerful superhero on the planet. As Mark develops powers of his own, he discovers his father's legacy may not be as heroic as it seems.",,,,James,,FALSE,TRUE,10,1,,,
69,A League of Their Own,Amazon Prime,Sports,Comedy,7.6,94,,Following the journey of the WWII All-American professional women's baseball league players as they travel across a rapidly changing U.S,,,,Sarah,,TRUE,FALSE,8,1,,,
70,Dr. Stone,Cruncy Roll,Anime,Science,8.1,98,,"Three millennia after a mysterious phenomenon turns every person on Earth into stone, two best friends, a science genius and a passionate strongman, discover a way to reverse the effects and fight a rival clan of survivors to rebuild civilization.",,,,James,,FALSE,TRUE,47,3,,,
71,Haikyuu!!,Cruncy Roll,Anime,Sports,8.4,8.7,,A tale of youth and volleyball.,,,,James,,FALSE,FALSE,85,4,,,
72,My Hero Academia,Cruncy Roll,Anime,Action,8.3,100,,"In a world where those with powers are known as ""Quirks,"" Izuku Midoriya has aspirations to one day become a hero but there's a catch -- he isn't a Quirk. After a tragic accident involving his friend Katuski Bakugo; Midoriya is the only one to have stepped forward to help protect Bakugo from a villain, because of his acts, he is given a gift by the world's greatest hero, All Might. Now, Midoriya attends U.A. School--a school that cultivates the next generation of superheroes.",,,,James,,FALSE,TRUE,138,6,,,
73,Demon Slayer: Kimetsu no Yaiba,Cruncy Roll,Anime,Action,8.7,98,,A youth begins a quest to fight demons and save his sister after finding his family slaughtered and his sister turned into a demon.,,,,James,,FALSE,TRUE,55,4,,,
74,Jujutsu Kaisen,Cruncy Roll,Anime,Action,8.5,88,,Yuuji Itadori searches for the rest of the cursed talisman in order to exorcise himself.,,,,James,,FALSE,TRUE,,,,,
